isin,symbol,name,sector,industry,country,exchange,index,segment
DE0005545503,1U1,1&1 AG,Telecommunication,Wireless Communication,DE,XETRA + FRANKFURT,SDAX,Prime Standard
DE0005118806,TGT,11 88 0 SOLUTIONS AG,Telecommunication,Telecommunication Services,DE,XETRA + FRANKFURT,-,Prime Standard
DE0005167902,UUU,3U HOLDING AG,Industrial,Industrial Products & Services,DE,XETRA + FRANKFURT,-,Prime Standard
DE000A0Z23Q5,ADN1,ADESSO SE  INH O.N.,Software,IT-Services,DE,XETRA + FRANKFURT,-,Prime Standard
DE000A1EWWW0,ADS,ADIDAS AG NA O.N.,Consumer,Clothing & Footwear,DE,XETRA + FRANKFURT,DAX,Prime Standard
DE000A0WMPJ6,AIXA,AIXTRON SE NA O.N.,Technology,Semiconductors,DE,XETRA + FRANKFURT,MDAX,Prime Standard
DE0005110001,A1OS,ALL FOR ONE GROUP NA O.N.,Software,IT-Services,DE,XETRA + FRANKFURT,-,Prime Standard
DE000A0DPRE6,LNSX,Allane SE,Financial Services,Diversified Financial,DE,FRANKFURT,-,Prime Standard
DE0008404005,ALV,ALLIANZ SE NA O.N.,Insurance,Insurance,DE,XETRA + FRANKFURT,DAX,Prime Standard
DE000A2YNT30,ACT,ALZCHEM GROUP AG INH O.N.,Chemicals,"Chemicals, Specialty",DE,XETRA + FRANKFURT,SDAX,Prime Standard
DE0005093108,AAD,AMADEUS FIRE AG,Industrial,Industrial Products & Services,DE,XETRA + FRANKFURT,-,Prime Standard
DE000A289B07,ELB,Arzneiwerk AG VIDA,Technology,Communications Technology,DE,XETRA + FRANKFURT,-,Prime Standard
DE0005104400,AOF,ATOSS SOFTWARE SE,Software,Software,DE,XETRA + FRANKFURT,SDAX,Prime Standard
DE000A2DAM03,AAG,AUMANN AG  INH O.N.,Industrial,Industrial Machinery,DE,XETRA + FRANKFURT,-,Prime Standard
DE000AUM0V10,AMV0,AUMOVIO SE,Automobile,Auto Parts & Equipment,DE,XETRA + FRANKFURT,MDAX,Prime Standard
DE0006766504,NDA,AURUBIS AG,Basic Resources,Steel & Other Metals,DE,XETRA + FRANKFURT,MDAX,Prime Standard
DE000A2LQ884,AG1,AUTO1 GROUP SE,Retail,"Retail, Internet",DE,XETRA + FRANKFURT,MDAX,Prime Standard
DE000BASF111,BAS,BASF SE NA O.N.,Chemicals,"Chemicals, Specialty",DE,XETRA + FRANKFURT,DAX,Prime Standard
DE0005102008,BSL,BASLER AG O.N.,Industrial,Advanced Industrial Equipment,DE,XETRA + FRANKFURT,SDAX,Prime Standard
DE000A1X3YY0,BST,BASTEI LUEBBE AG  O.N.,Media,Publishing & Printing,DE,XETRA + FRANKFURT,-,Prime Standard
DE0005190003,BMW,BAY.MOTOREN WERKE AG ST,Automobile,Automobile Manufacturers,DE,XETRA + FRANKFURT,DAX,Prime Standard
DE000BAY0017,BAYN,BAYER AG NA O.N.,Pharma & Healthcare,Pharmaceuticals,DE,XETRA + FRANKFURT,DAX,Prime Standard
DE0005194005,BYW,BAYWA AG NA O.N.,Industrial,"Industrial, Diversified",DE,XETRA + FRANKFURT,-,Prime Standard
DE0005194062,BYW6,BAYWA AG VINK.NA. O.N.,Industrial,"Industrial, Diversified",DE,XETRA + FRANKFURT,-,Prime Standard
DE0005158703,BC8,BECHTLE AG O.N.,Software,IT-Services,DE,XETRA + FRANKFURT,MDAX,Prime Standard
DE0005200000,BEI,BEIERSDORF AG O.N.,Consumer,Personal Products,DE,XETRA + FRANKFURT,DAX,Prime Standard
DE0005232805,BDT,BERTRANDT AG O.N.,Industrial,Industrial Products & Services,DE,XETRA + FRANKFURT,-,Prime Standard
DE000A0DNAY5,ACX,BET-AT-HOME.COM AG O.N.,Retail,"Retail, Internet",DE,XETRA + FRANKFURT,-,Prime Standard
DE000A3CQ7F4,BIKE,BIKE24 HOLDING AG,Retail,"Retail, Internet",DE,XETRA + FRANKFURT,-,Prime Standard
