iter	Passed	Remaining
0	5	3017
1	10	3091
2	15	3107
3	20	3073
4	25	3076
5	31	3108
6	36	3105
7	41	3098
8	47	3096
9	52	3074
10	57	3057
11	62	3080
12	68	3082
13	73	3065
14	78	3066
15	84	3070
16	89	3062
17	94	3070
18	100	3067
19	105	3060
20	110	3048
21	115	3044
22	121	3054
23	126	3040
24	132	3055
25	138	3057
26	144	3056
27	149	3049
28	154	3048
29	160	3046
30	165	3037
31	170	3028
32	175	3017
33	180	3008
34	186	3008
35	191	3002
36	197	2999
37	202	2997
38	209	3013
39	215	3012
40	220	3007
41	225	2998
42	231	2992
43	236	2989
44	241	2978
45	246	2973
46	252	2971
47	257	2961
48	262	2952
49	267	2946
50	273	2945
51	279	2944
52	284	2932
53	290	2934
54	295	2926
55	300	2918
56	305	2914
57	310	2905
58	316	2901
59	321	2897
60	327	2894
61	332	2888
62	338	2882
63	344	2882
64	349	2878
65	354	2871
66	360	2865
67	365	2857
68	370	2854
69	376	2853
70	382	2847
71	387	2842
72	393	2838
73	398	2834
74	404	2828
75	409	2825
76	415	2823
77	420	2815
78	427	2817
79	432	2809
80	438	2806
81	443	2800
82	448	2793
83	453	2784
84	458	2777
85	463	2771
86	468	2763
87	473	2754
88	478	2745
89	483	2738
90	489	2736
91	494	2727
92	499	2722
93	504	2716
94	509	2710
95	515	2704
96	520	2700
97	525	2693
98	530	2684
99	535	2678
100	540	2670
101	545	2662
102	550	2655
103	555	2649
104	560	2642
105	566	2638
106	571	2634
107	577	2629
108	583	2629
109	589	2626
110	596	2627
111	602	2626
112	608	2622
113	614	2618
114	619	2612
115	624	2605
116	628	2595
117	633	2589
118	639	2585
119	644	2576
120	649	2569
121	654	2566
122	659	2558
123	664	2550
124	669	2542
125	673	2534
126	678	2528
127	683	2521
128	688	2514
129	693	2507
130	698	2500
131	703	2494
132	708	2489
133	713	2480
134	717	2472
135	722	2466
136	728	2460
137	733	2454
138	737	2446
139	743	2441
140	747	2434
141	752	2427
142	757	2420
143	763	2416
144	768	2409
145	772	2401
146	777	2395
147	782	2388
148	787	2383
149	792	2377
150	798	2373
151	803	2368
152	808	2362
153	813	2355
154	818	2350
155	823	2344
156	828	2337
157	833	2331
158	838	2325
159	843	2319
160	848	2314
161	854	2309
162	858	2302
163	863	2296
164	868	2290
165	874	2285
166	879	2279
167	884	2274
168	889	2268
169	894	2263
170	899	2256
171	904	2249
172	909	2244
173	914	2237
174	918	2231
175	924	2226
176	929	2220
177	934	2214
178	939	2208
179	944	2203
180	949	2197
181	954	2191
182	959	2186
183	964	2180
184	969	2174
185	974	2168
186	979	2163
187	984	2157
188	988	2150
189	993	2144
190	999	2139
191	1003	2133
192	1008	2126
193	1013	2121
194	1018	2115
195	1022	2108
196	1027	2101
197	1032	2097
198	1037	2090
199	1042	2084
200	1047	2079
201	1052	2074
202	1057	2068
203	1062	2061
204	1067	2056
205	1073	2052
206	1078	2047
207	1084	2044
208	1090	2040
209	1096	2035
210	1102	2031
211	1108	2028
212	1114	2024
213	1121	2022
214	1127	2018
215	1133	2014
216	1138	2009
217	1144	2005
218	1149	1999
219	1155	1995
220	1160	1990
221	1165	1984
222	1170	1978
223	1176	1974
224	1181	1968
225	1186	1963
226	1191	1957
227	1196	1952
228	1201	1946
229	1205	1939
230	1211	1934
231	1216	1929
232	1220	1922
233	1225	1917
234	1231	1912
235	1235	1906
236	1241	1900
237	1246	1895
238	1251	1890
239	1257	1885
240	1262	1880
241	1268	1876
242	1274	1871
243	1279	1866
244	1285	1862
245	1291	1857
246	1296	1852
247	1301	1847
248	1307	1843
249	1312	1837
250	1317	1831
251	1323	1828
252	1328	1822
253	1334	1817
254	1340	1813
255	1345	1808
256	1351	1803
257	1356	1797
258	1361	1792
259	1366	1786
260	1371	1781
261	1376	1776
262	1382	1771
263	1387	1766
264	1394	1762
265	1400	1757
266	1405	1752
267	1411	1748
268	1416	1742
269	1421	1737
270	1427	1733
271	1432	1727
272	1438	1722
273	1443	1717
274	1448	1712
275	1454	1707
276	1460	1702
277	1465	1697
278	1471	1692
279	1476	1687
280	1481	1682
281	1487	1677
282	1493	1672
283	1498	1667
284	1504	1663
285	1510	1658
286	1516	1654
287	1523	1650
288	1528	1645
289	1534	1640
290	1540	1636
291	1545	1630
292	1550	1624
293	1556	1619
294	1559	1612
295	1565	1607
296	1570	1602
297	1574	1596
298	1579	1589
299	1584	1584
300	1589	1578
301	1594	1573
302	1598	1567
303	1603	1561
304	1609	1556
305	1614	1550
306	1619	1545
307	1624	1540
308	1629	1534
309	1634	1528
310	1639	1523
311	1644	1517
312	1648	1512
313	1653	1506
314	1659	1501
315	1663	1495
316	1668	1489
317	1673	1483
318	1678	1478
319	1682	1472
320	1687	1466
321	1691	1460
322	1697	1455
323	1701	1449
324	1705	1443
325	1710	1437
326	1715	1432
327	1720	1426
328	1724	1420
329	1729	1414
330	1733	1409
331	1738	1403
332	1743	1397
333	1747	1392
334	1752	1386
335	1757	1381
336	1762	1375
337	1767	1369
338	1772	1364
339	1776	1358
